player_id,beta_1,beta_2,beta_3,beta_4,beta_5,p_kill,p_death,p_trade_att_kill,p_no_trade_att_kill,p_traded_kill,p_two_piece,p_trade_att_death,p_no_trade_att_death,p_fail_trade,p_traded_death
(Intercept),0.019488692107734098,NA,NA,NA,NA,0.019116143473295766,0.9808838565267042,NA,NA,NA,NA,NA,NA,NA,NA
kill_prob,1965.6165581659159,NA,NA,NA,NA,0.9994915124680265,5.084875319735227e-4,NA,NA,NA,NA,NA,NA,NA,NA
ABEZY,1.0036016819509623,1.3371424233322433,1.3174889708867825,1.7201695686061884,1.6639141274994433,0.500898801888471,0.499101198111529,0.5721270599443302,0.4278729400556698,0.361799341206749,0.21032771873758124,0.5684984858342812,0.4315015141657188,0.3550912742557616,0.2134072115785196
ACCURACY,1.0692434395514152,1.2049081624084037,1.263219525079587,1.6078365978999496,1.6697289638900634,0.5167315836860709,0.48326841631392914,0.54646637123076,0.45353362876923997,0.3369185906409712,0.20954778058978885,0.5581515673055026,0.44184843269449736,0.3490848137680126,0.20906675353749007
ACHES,0.9561550070895652,1.098559499125347,1.086297873110194,1.7559146246473112,1.5290159700090438,0.4887930678418811,0.511206932158119,0.5234826554039628,0.47651734459603723,0.33353386282445546,0.18994879257950734,0.5206820594083106,0.4793179405916894,0.3147987966757116,0.20588326273259902
ALEX,0.9811484665266097,1.3448854152561995,1.2341006870689173,1.6985595759416146,1.906189248998733,0.4952422713915931,0.5047577286084068,0.5735399292887233,0.4264600707112767,0.3610043475650562,0.2125355817236671,0.5523925999450033,0.44760740005499666,0.3623180546842917,0.19007454526071166
APATHY,1.0087093991581413,1.0179368577349657,1.2187733244107921,1.8668322921429543,1.5878687006591874,0.5021679091962709,0.49783209080372914,0.504444355547155,0.49555564445284495,0.32848556056299383,0.17595879498416123,0.5493005125859102,0.45069948741408983,0.33704070495115995,0.21225980763475022
AQUA,1.0233634728301595,1.208175956084011,1.220236111711208,1.7745309189148508,1.536540613183726,0.5057734245833448,0.49422657541665516,0.5471375380006382,0.45286246199936175,0.34993752329882705,0.1972000147018112,0.5495974528451085,0.4504025471548915,0.3329254035238544,0.2166720493212541
ARCITYS,1.10968266286225,1.041478010047757,1.1848640489353213,1.5532074946498413,1.9514861358780604,0.5259950619097948,0.47400493809020516,0.5101588187194793,0.4898411812805207,0.31034786728349156,0.19981095143598776,0.5423056182890201,0.45769438171097987,0.3585657688291868,0.18373984945983335
ASSAULT,1.0885147655717828,1.0017698931479904,1.2640519394824574,1.5479119086458026,1.4386879284384746,0.5211908402638346,0.47880915973616545,0.500442082067986,0.499557917932014,0.30402945085815447,0.19641263120983155,0.5583140198503611,0.4416859801496389,0.3293736895441964,0.22894033030616473
ATTACH,1.021038937679392,1.0563920347418412,1.0803188429046828,1.8174359758489471,1.739370362753113,0.5052049807866517,0.49479501921334834,0.5137114017631664,0.48628859823683357,0.33137845572048824,0.18233294604267822,0.519304454982616,0.480695545017384,0.3297337192969505,0.18957073568566551
BANCE,0.9767020771888776,1.4100948965908668,1.155662344968797,1.806360069530294,1.6037451670548875,0.49410687045863405,0.505893129541366,0.5850785786839671,0.41492142131603293,0.3765955030314928,0.20848307565247426,0.536105456249237,0.463894543750763,0.3302076352825142,0.2058978209667228
BELIEVE,1.0067140230550509,1.3361557985291412,1.2167213018854355,1.5474181749686982,1.7811514272727933,0.5016728898532411,0.4983271101467589,0.5719463570753258,0.4280536429246742,0.3474263459144752,0.22452001116085063,0.5488832993351719,0.4511167006648281,0.351525005948965,0.19735829338620686
BLAZT,0.9115002489654168,1.3468533810217993,1.3977908092164373,1.8236068709747932,1.7587285118646745,0.47685070899611887,0.5231492910038811,0.5738975395367013,0.4261024604632987,0.37064773679820084,0.2032498027385005,0.5829494398943061,0.41705056010569386,0.3716385271360659,0.2113109127582403
BUZZO,0.918309115404865,0.9288698652614786,1.111204310332746,2.1008925776421417,1.626717997773012,0.47870758056167245,0.5212924194383275,0.481561707189386,0.5184382928106139,0.32626393561822237,0.15529777157116362,0.5263367002872449,0.4736632997127551,0.3259586236404619,0.20037807664678295
CENSOR,0.8066199277869968,1.0391066555265895,1.2323071388902185,2.204750022439243,1.6711172479579173,0.4464801452594729,0.5535198547405271,0.5095891638185277,0.4904108361814723,0.3505785825718,0.1590105812467277,0.5520329695773201,0.44796703042267993,0.3453655273303157,0.2066674422470043
CHINO,1.0359782190142264,1.1377381944912062,1.2519455478588175,1.4537501316987607,1.551498601066325,0.508835609997745,0.491164390002255,0.53221587069131,0.46778412930868996,0.31531690293747006,0.21689896775384,0.5559395292879907,0.44406047071200927,0.338052077162541,0.21788745212544974
CLASSIC,0.9335994866077485,1.2393706430443365,1.2301348679835593,2.152713842417891,1.8329485986807927,0.482829817174615,0.517170182825385,0.5534459634424165,0.4465540365575835,0.37790007152031113,0.17554589192210532,0.551596625676644,0.448403374323356,0.3568890245809151,0.19470760109572893
CLAYSTER,1.0557678999692397,1.0089145904339956,1.1445019849908507,1.642181091097315,2.222209056473965,0.5135637636841381,0.48643623631586186,0.5022187579493037,0.4977812420506963,0.3121414163009578,0.19007734164834592,0.533691268649366,0.466308731350634,0.36806226714895446,0.16562900150041154
CRIMSIX,1.1121154902226456,1.2397618727340032,1.151963221125108,1.5503041323504654,1.8984595824370796,0.5265410416100937,0.47345895838990626,0.5535239651261082,0.44647603487389176,0.3364816296239665,0.21704233550214178,0.5353080432865525,0.46469195671344754,0.3506209610411428,0.1846870822454096
DAMAGE,1.0497394146914591,0.9464780469901388,1.1169605541559413,1.806799006241332,1.9478610782211825,0.5121331068561576,0.48786689314384235,0.4862515908944818,0.5137484091055182,0.31301097415875206,0.17324061673572974,0.5276246418305548,0.4723753581694452,0.3486390560685088,0.178985585762046
DASHY,1.1770764842255665,1.28861952933961,1.4443595997628444,1.354699843905858,1.6285142793458853,0.5406684114013928,0.45933158859860723,0.5630553758804314,0.4369446241195686,0.32393556732493267,0.23911980855549872,0.5908948912029878,0.40910510879701223,0.3660930341820573,0.22480185702093045
DECEMATE,0.9806647008797046,1.0479830750308397,1.2824135348069265,1.8798916898429747,1.6188205099785193,0.4951189872996405,0.5048810127003596,0.5117147147395534,0.48828528526044657,0.33402931200572544,0.177685402733828,0.5618673019810181,0.4381326980189819,0.3473175457682004,0.21454975621281766
DENZ,1.0825453070097886,1.14103372390202,1.1129971493917923,1.7450802794975784,1.9651616198800705,0.5198183700330415,0.48018162996695846,0.5329358950135981,0.46706410498640194,0.3387937058055144,0.1941421892080837,0.526738594849576,0.47326140515042403,0.34909613808835543,0.17764245676122054
DENZA,0.9967949342597799,1.5285371476772571,1.6388822019745941,1.8688482062186695,2.255883388842779,0.4991974474481006,0.5008025525518994,0.6045144122487537,0.3954855877512463,0.39379764761186015,0.21071676463689354,0.621051671328212,0.37894832867178796,0.430304154553986,0.19074751677422605
DIABOLIC,0.9183585420274221,1.1219905985794985,1.3156620108248018,2.0917413110924294,1.5591256699700955,0.4787210116920336,0.5212789883079664,0.5287443777227764,0.4712556222772236,0.3577260665122725,0.17101831121050387,0.5681580492639269,0.4318419507360731,0.34614548617218704,0.22201256309173983
DQVEE,0.9272402667088738,1.2784243276948137,1.192696664671487,1.836748423699988,1.4830526745301027,0.48112333616415737,0.5188766638358426,0.5611001919858599,0.4388998080141401,0.3633032399198697,0.1977969520659902,0.5439405659196269,0.4560594340803731,0.3248793387861497,0.2190612271334772
